# XDK Monitor Logger 1.0
# Start: 2016-05-05 19:05:13
# Timestamp, 	humidity of BME280 (%rh), 	light of BME280 (lux), 	pressure of BME280 (pa), 	temperature of BME280 (mDeg)
14676, 	28.0, 	1536.0, 	100043.0, 	18870.0
17605, 	28.0, 	1536.0, 	100045.0, 	18840.0
20535, 	28.0, 	1536.0, 	100046.0, 	18810.0
23465, 	28.0, 	1536.0, 	100044.0, 	18780.0
26394, 	28.0, 	1536.0, 	100047.0, 	18750.0
29324, 	28.0, 	1536.0, 	100042.0, 	18720.0
32254, 	28.0, 	1536.0, 	100039.0, 	18690.0
35183, 	28.0, 	1536.0, 	100044.0, 	18660.0
38113, 	28.0, 	1536.0, 	100047.0, 	18640.0
41043, 	28.0, 	1536.0, 	100046.0, 	18610.0
43972, 	28.0, 	1536.0, 	100045.0, 	18580.0
46902, 	28.0, 	1536.0, 	100041.0, 	18550.0
49832, 	28.0, 	1536.0, 	100043.0, 	18530.0
52762, 	28.0, 	1536.0, 	100044.0, 	18500.0
55691, 	28.0, 	1536.0, 	100045.0, 	18470.0
58621, 	28.0, 	1536.0, 	100038.0, 	18430.0
61551, 	28.0, 	1536.0, 	100041.0, 	18410.0
64480, 	28.0, 	1536.0, 	100047.0, 	18390.0
67410, 	28.0, 	1536.0, 	100045.0, 	18370.0
70340, 	28.0, 	1536.0, 	100039.0, 	18330.0
73269, 	28.0, 	1536.0, 	100047.0, 	18310.0
76199, 	28.0, 	1536.0, 	100044.0, 	18280.0
79129, 	28.0, 	1536.0, 	100039.0, 	18250.0
82058, 	28.0, 	1536.0, 	100044.0, 	18220.0
84988, 	28.0, 	1536.0, 	100041.0, 	18190.0
87918, 	28.0, 	1536.0, 	100040.0, 	18170.0
90847, 	29.0, 	1536.0, 	100045.0, 	18140.0
93777, 	29.0, 	1536.0, 	100043.0, 	18120.0
96707, 	29.0, 	1536.0, 	100047.0, 	18100.0
99637, 	29.0, 	1536.0, 	100043.0, 	18060.0
102566, 	29.0, 	1536.0, 	100051.0, 	18050.0
105496, 	29.0, 	1536.0, 	100045.0, 	18010.0
108426, 	29.0, 	1536.0, 	100041.0, 	17980.0
111355, 	29.0, 	1536.0, 	100044.0, 	17960.0
114285, 	29.0, 	1536.0, 	100039.0, 	17930.0
117215, 	29.0, 	1536.0, 	100040.0, 	17920.0
120144, 	29.0, 	1536.0, 	100040.0, 	17890.0
123074, 	29.0, 	1536.0, 	100039.0, 	17860.0
126004, 	29.0, 	1536.0, 	100035.0, 	17840.0
128933, 	29.0, 	1536.0, 	100034.0, 	17820.0
131863, 	29.0, 	1536.0, 	100037.0, 	17790.0
134793, 	29.0, 	1536.0, 	100040.0, 	17780.0
137722, 	29.0, 	1536.0, 	100034.0, 	17740.0
140652, 	29.0, 	1536.0, 	100037.0, 	17720.0
143582, 	29.0, 	1536.0, 	100038.0, 	17700.0
146512, 	29.0, 	1536.0, 	100037.0, 	17680.0
149441, 	29.0, 	1536.0, 	100036.0, 	17660.0
152371, 	29.0, 	1536.0, 	100037.0, 	17630.0
155301, 	29.0, 	1536.0, 	100042.0, 	17600.0
158230, 	29.0, 	1536.0, 	100041.0, 	17580.0
161160, 	29.0, 	1536.0, 	100038.0, 	17560.0
164090, 	29.0, 	1536.0, 	100044.0, 	17540.0
167019, 	29.0, 	1536.0, 	100039.0, 	17510.0
169949, 	29.0, 	1536.0, 	100042.0, 	17500.0
172879, 	29.0, 	1536.0, 	100044.0, 	17480.0
175808, 	29.0, 	1536.0, 	100042.0, 	17440.0
178738, 	29.0, 	1536.0, 	100034.0, 	17430.0
181668, 	29.0, 	1536.0, 	100035.0, 	17410.0
184597, 	29.0, 	1536.0, 	100036.0, 	17390.0
187527, 	29.0, 	1536.0, 	100037.0, 	17370.0
190457, 	29.0, 	1536.0, 	100037.0, 	17340.0
193387, 	29.0, 	1536.0, 	100042.0, 	17330.0
196316, 	29.0, 	1536.0, 	100042.0, 	17300.0
199246, 	29.0, 	1536.0, 	100040.0, 	17290.0
202176, 	29.0, 	1536.0, 	100035.0, 	17270.0
205105, 	29.0, 	1536.0, 	100035.0, 	17250.0
208035, 	29.0, 	1536.0, 	100032.0, 	17230.0
210965, 	29.0, 	1536.0, 	100034.0, 	17200.0
213894, 	29.0, 	1536.0, 	100037.0, 	17190.0
216824, 	30.0, 	1536.0, 	100044.0, 	17170.0
219754, 	30.0, 	1536.0, 	100040.0, 	17150.0
222683, 	30.0, 	1536.0, 	100040.0, 	17120.0
225613, 	30.0, 	1536.0, 	100036.0, 	17110.0
228543, 	30.0, 	1536.0, 	100037.0, 	17090.0
231472, 	30.0, 	1536.0, 	100040.0, 	17070.0
234402, 	30.0, 	1536.0, 	100038.0, 	17050.0
237332, 	30.0, 	1536.0, 	100037.0, 	17020.0
240262, 	30.0, 	1536.0, 	100044.0, 	17010.0
243191, 	30.0, 	1536.0, 	100048.0, 	16990.0
246121, 	30.0, 	1536.0, 	100047.0, 	16980.0
249051, 	30.0, 	1536.0, 	100039.0, 	16950.0
251980, 	30.0, 	1536.0, 	100034.0, 	16940.0
254910, 	30.0, 	1536.0, 	100033.0, 	16930.0
257840, 	30.0, 	1536.0, 	100031.0, 	16900.0
260769, 	30.0, 	1536.0, 	100037.0, 	16880.0
263699, 	30.0, 	1536.0, 	100037.0, 	16860.0
266629, 	30.0, 	1536.0, 	100040.0, 	16850.0
269558, 	30.0, 	1536.0, 	100038.0, 	16830.0
272488, 	30.0, 	1536.0, 	100042.0, 	16810.0
275418, 	30.0, 	1536.0, 	100041.0, 	16800.0
278347, 	30.0, 	1536.0, 	100043.0, 	16780.0
281277, 	30.0, 	1536.0, 	100038.0, 	16760.0
284207, 	30.0, 	1536.0, 	100036.0, 	16740.0
287137, 	30.0, 	1536.0, 	100034.0, 	16720.0
290066, 	30.0, 	1536.0, 	100033.0, 	16710.0
292996, 	30.0, 	1536.0, 	100033.0, 	16690.0
295926, 	30.0, 	1536.0, 	100036.0, 	16670.0
298855, 	30.0, 	1536.0, 	100035.0, 	16650.0
301785, 	30.0, 	1536.0, 	100039.0, 	16640.0
304715, 	30.0, 	1536.0, 	100034.0, 	16620.0
307644, 	30.0, 	1536.0, 	100038.0, 	16610.0
310574, 	30.0, 	1536.0, 	100038.0, 	16590.0
313504, 	30.0, 	1536.0, 	100032.0, 	16560.0
316433, 	30.0, 	1536.0, 	100036.0, 	16560.0
319363, 	30.0, 	1536.0, 	100037.0, 	16540.0
322293, 	30.0, 	1536.0, 	100035.0, 	16510.0
325222, 	30.0, 	1536.0, 	100037.0, 	16500.0
328152, 	30.0, 	1536.0, 	100039.0, 	16500.0
331082, 	30.0, 	1536.0, 	100037.0, 	16470.0
334012, 	30.0, 	1536.0, 	100038.0, 	16460.0
336941, 	30.0, 	1536.0, 	100036.0, 	16450.0
339871, 	30.0, 	1536.0, 	100040.0, 	16430.0
342801, 	30.0, 	1536.0, 	100040.0, 	16410.0
345730, 	30.0, 	1536.0, 	100040.0, 	16400.0
348660, 	30.0, 	1536.0, 	100041.0, 	16380.0
351590, 	30.0, 	1536.0, 	100041.0, 	16370.0
354519, 	30.0, 	1536.0, 	100040.0, 	16360.0
357449, 	30.0, 	1536.0, 	100036.0, 	16340.0
360379, 	30.0, 	1536.0, 	100042.0, 	16340.0
363308, 	30.0, 	1536.0, 	100042.0, 	16300.0
366238, 	30.0, 	1536.0, 	100045.0, 	16300.0
369168, 	30.0, 	1536.0, 	100040.0, 	16280.0
372097, 	31.0, 	1536.0, 	100041.0, 	16270.0
375027, 	31.0, 	1536.0, 	100039.0, 	16240.0
377957, 	31.0, 	1536.0, 	100043.0, 	16240.0
380887, 	31.0, 	1536.0, 	100045.0, 	16230.0
383816, 	31.0, 	1536.0, 	100043.0, 	16210.0
386746, 	31.0, 	1536.0, 	100046.0, 	16200.0
389676, 	31.0, 	1536.0, 	100038.0, 	16180.0
392605, 	31.0, 	1536.0, 	100043.0, 	16160.0
395535, 	31.0, 	1536.0, 	100042.0, 	16160.0
398465, 	31.0, 	1536.0, 	100047.0, 	16150.0
401394, 	31.0, 	1536.0, 	100040.0, 	16140.0
404324, 	31.0, 	1536.0, 	100043.0, 	16120.0
407254, 	31.0, 	1536.0, 	100045.0, 	16100.0
410183, 	31.0, 	1536.0, 	100045.0, 	16090.0
413113, 	31.0, 	1536.0, 	100041.0, 	16080.0
416043, 	31.0, 	1536.0, 	100043.0, 	16060.0
418972, 	31.0, 	1536.0, 	100044.0, 	16050.0
421902, 	31.0, 	1536.0, 	100050.0, 	16030.0
424832, 	31.0, 	1536.0, 	100044.0, 	16020.0
427762, 	31.0, 	1536.0, 	100047.0, 	16010.0
430691, 	31.0, 	1536.0, 	100047.0, 	16000.0
433621, 	31.0, 	1536.0, 	100044.0, 	15980.0
436551, 	31.0, 	1536.0, 	100036.0, 	15970.0
439480, 	31.0, 	1536.0, 	100042.0, 	15960.0
442410, 	31.0, 	1536.0, 	100041.0, 	15940.0
445340, 	31.0, 	1536.0, 	100044.0, 	15940.0
448269, 	31.0, 	1536.0, 	100046.0, 	15920.0
451199, 	31.0, 	1536.0, 	100041.0, 	15910.0
454129, 	31.0, 	1536.0, 	100043.0, 	15890.0
457058, 	31.0, 	1536.0, 	100043.0, 	15880.0
459988, 	31.0, 	1536.0, 	100044.0, 	15870.0
462918, 	31.0, 	1536.0, 	100046.0, 	15870.0
465847, 	31.0, 	1536.0, 	100044.0, 	15850.0
468777, 	31.0, 	1536.0, 	100038.0, 	15840.0
471707, 	31.0, 	1536.0, 	100036.0, 	15820.0
474637, 	31.0, 	1536.0, 	100038.0, 	15820.0
477566, 	31.0, 	1536.0, 	100041.0, 	15800.0
480496, 	31.0, 	1536.0, 	100044.0, 	15790.0
483426, 	31.0, 	1536.0, 	100044.0, 	15790.0
486355, 	31.0, 	1536.0, 	100047.0, 	15770.0
489285, 	31.0, 	1536.0, 	100048.0, 	15750.0
492215, 	31.0, 	1536.0, 	100048.0, 	15750.0
495144, 	31.0, 	1536.0, 	100049.0, 	15750.0
498074, 	31.0, 	1536.0, 	100052.0, 	15720.0
501004, 	31.0, 	1536.0, 	100056.0, 	15720.0
503933, 	31.0, 	1536.0, 	100054.0, 	15710.0
506863, 	31.0, 	1536.0, 	100055.0, 	15700.0
509793, 	31.0, 	1536.0, 	100049.0, 	15690.0
512722, 	31.0, 	1536.0, 	100046.0, 	15670.0
515652, 	31.0, 	1536.0, 	100047.0, 	15660.0
518582, 	31.0, 	1536.0, 	100043.0, 	15650.0
521512, 	31.0, 	1536.0, 	100045.0, 	15640.0
524441, 	31.0, 	1536.0, 	100042.0, 	15620.0
527371, 	31.0, 	1536.0, 	100043.0, 	15620.0
530301, 	31.0, 	1536.0, 	100044.0, 	15600.0
533230, 	31.0, 	1536.0, 	100041.0, 	15600.0
536160, 	31.0, 	1536.0, 	100038.0, 	15590.0
539090, 	31.0, 	1536.0, 	100041.0, 	15580.0
542019, 	31.0, 	1536.0, 	100041.0, 	15570.0
544949, 	31.0, 	1536.0, 	100041.0, 	15560.0
547879, 	31.0, 	1536.0, 	100053.0, 	15550.0
550808, 	31.0, 	1536.0, 	100050.0, 	15540.0
553738, 	31.0, 	1536.0, 	100051.0, 	15530.0
556668, 	31.0, 	1536.0, 	100052.0, 	15520.0
559597, 	31.0, 	1536.0, 	100054.0, 	15500.0
562527, 	31.0, 	1536.0, 	100053.0, 	15490.0
565457, 	31.0, 	1536.0, 	100053.0, 	15490.0
568387, 	31.0, 	1536.0, 	100055.0, 	15480.0
571316, 	31.0, 	1536.0, 	100054.0, 	15470.0
574246, 	31.0, 	1536.0, 	100064.0, 	15460.0
577176, 	32.0, 	1536.0, 	100057.0, 	15450.0
580105, 	32.0, 	1536.0, 	100062.0, 	15450.0
583035, 	32.0, 	1536.0, 	100063.0, 	15430.0
585965, 	32.0, 	1536.0, 	100063.0, 	15420.0
588894, 	32.0, 	1536.0, 	100059.0, 	15420.0
591824, 	32.0, 	1536.0, 	100067.0, 	15400.0
594754, 	32.0, 	1536.0, 	100059.0, 	15390.0
597683, 	32.0, 	1536.0, 	100060.0, 	15380.0
600613, 	32.0, 	1536.0, 	100060.0, 	15370.0
603543, 	32.0, 	1536.0, 	100065.0, 	15370.0
606472, 	32.0, 	1536.0, 	100060.0, 	15360.0
609402, 	32.0, 	1536.0, 	100064.0, 	15350.0
612332, 	32.0, 	1536.0, 	100055.0, 	15340.0
615262, 	32.0, 	1536.0, 	100059.0, 	15330.0
618191, 	32.0, 	1536.0, 	100062.0, 	15330.0
621121, 	32.0, 	1536.0, 	100061.0, 	15310.0
624051, 	32.0, 	1536.0, 	100058.0, 	15290.0
626980, 	32.0, 	1536.0, 	100062.0, 	15290.0
629910, 	32.0, 	1536.0, 	100051.0, 	15290.0
632840, 	32.0, 	1536.0, 	100052.0, 	15270.0
635769, 	32.0, 	1536.0, 	100056.0, 	15270.0
638699, 	32.0, 	1536.0, 	100058.0, 	15260.0
641629, 	32.0, 	1536.0, 	100056.0, 	15250.0
644558, 	32.0, 	1536.0, 	100056.0, 	15240.0
647488, 	32.0, 	1536.0, 	100055.0, 	15230.0
650418, 	32.0, 	1536.0, 	100053.0, 	15220.0
653347, 	32.0, 	1536.0, 	100056.0, 	15210.0
656277, 	32.0, 	1536.0, 	100053.0, 	15210.0
659207, 	32.0, 	1536.0, 	100058.0, 	15190.0
662137, 	32.0, 	1536.0, 	100058.0, 	15200.0
665066, 	32.0, 	1536.0, 	100059.0, 	15190.0
667996, 	32.0, 	1536.0, 	100055.0, 	15170.0
670926, 	32.0, 	1536.0, 	100057.0, 	15170.0
